match_id,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire,reserve_umpire,tv_umpire,match_referee,result,winner_by_runs,winner_by_wicket
936153,South Africa,Sri Lanka,male,2016/17,42755,Sri Lanka in South Africa T20I Series,1,SuperSport Park,Centurion,Sri Lanka,field,L Ngidi,S George,AT Holdstock,A Paleker,BP Jele,RB Richardson,South Africa,19,0
936155,South Africa,Sri Lanka,male,2016/17,42757,Sri Lanka in South Africa T20I Series,2,New Wanderers Stadium,Johannesburg,South Africa,bat,AD Mathews,AT Holdstock,BP Jele,A Paleker,S George,RB Richardson,Sri Lanka,0,3
936157,South Africa,Sri Lanka,male,2016/17,42760,Sri Lanka in South Africa T20I Series,3,Newlands,Cape Town,South Africa,bat,N Dickwella,S George,BP Jele,A Paleker,AT Holdstock,RB Richardson,Sri Lanka,0,5
951321,Afghanistan,Zimbabwe,male,2015/16,42441,World T20,9,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Afghanistan,bat,Mohammad Nabi,Aleem Dar,RK Illingworth,M Erasmus,IJ Gould,J Srinath,Afghanistan,59,0
951329,India,New Zealand,male,2015/16,42444,World T20,13,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,New Zealand,bat,MJ Santner,HDPK Dharmasena,RK Illingworth,NJ Llong,M Erasmus,RS Madugalle,New Zealand,47,0
951331,England,West Indies,male,2015/16,42445,World T20,15,Wankhede Stadium,Mumbai,West Indies,field,CH Gayle,CB Gaffaney,RJ Tucker,S Ravi,PR Reiffel,DC Boon,West Indies,0,6
951333,Bangladesh,Pakistan,male,2015/16,42445,World T20,14,Eden Gardens,Kolkata,Pakistan,bat,Shahid Afridi,IJ Gould,RA Kettleborough,Aleem Dar,JS Wilson,BC Broad,Pakistan,55,0
951335,Afghanistan,Sri Lanka,male,2015/16,42446,World T20,16,Eden Gardens,Kolkata,Afghanistan,bat,TM Dilshan,BNJ Oxenford,JS Wilson,IJ Gould,RA Kettleborough,BC Broad,Sri Lanka,0,6
951337,Australia,New Zealand,male,2015/16,42447,World T20,17,Himachal Pradesh Cricket Association Stadium,Dharamsala,New Zealand,bat,MJ McClenaghan,M Erasmus,NJ Llong,HDPK Dharmasena,RK Illingworth,RS Madugalle,New Zealand,8,0
951339,England,South Africa,male,2015/16,42447,World T20,18,Wankhede Stadium,Mumbai,England,field,JE Root,S Ravi,PR Reiffel,CB Gaffaney,RJ Tucker,DC Boon,England,0,2
951341,India,Pakistan,male,2015/16,42448,World T20,19,Eden Gardens,Kolkata,India,field,V Kohli,IJ Gould,RA Kettleborough,JS Wilson,BNJ Oxenford,BC Broad,India,0,6
951343,Afghanistan,South Africa,male,2015/16,42449,World T20,20,Wankhede Stadium,Mumbai,South Africa,bat,CH Morris,CB Gaffaney,PR Reiffel,RJ Tucker,S Ravi,DC Boon,South Africa,37,0
951345,Sri Lanka,West Indies,male,2015/16,42449,World T20,21,M Chinnaswamy Stadium,Bangalore,West Indies,field,ADS Fletcher,Aleem Dar,JD Cloete,IJ Gould,SD Fry,JJ Crowe,West Indies,0,7
951347,Australia,Bangladesh,male,2015/16,42450,World T20,22,M Chinnaswamy Stadium,Bangalore,Australia,field,A Zampa,IJ Gould,RA Kettleborough,BNJ Oxenford,Aleem Dar,BC Broad,Australia,0,3
951349,New Zealand,Pakistan,male,2015/16,42451,World T20,23,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,New Zealand,bat,MJ Guptill,RK Illingworth,NJ Llong,M Erasmus,HDPK Dharmasena,RS Madugalle,New Zealand,22,0
951351,Afghanistan,England,male,2015/16,42452,World T20,24,Feroz Shah Kotla,Delhi,England,bat,MM Ali,S Ravi,RJ Tucker,PR Reiffel,CB Gaffaney,DC Boon,England,15,0
951353,India,Bangladesh,male,2015/16,42452,World T20,25,M Chinnaswamy Stadium,Bangalore,Bangladesh,field,R Ashwin,Aleem Dar,BNJ Oxenford,RA Kettleborough,IJ Gould,BC Broad,India,1,0
951355,Australia,Pakistan,male,2015/16,42454,World T20,26,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Australia,bat,JP Faulkner,HDPK Dharmasena,M Erasmus,NJ Llong,RK Illingworth,RS Madugalle,Australia,21,0
951357,South Africa,West Indies,male,2015/16,42454,World T20,27,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,West Indies,field,MN Samuels,IJ Gould,RA Kettleborough,Aleem Dar,BNJ Oxenford,BC Broad,West Indies,0,3
951359,Bangladesh,New Zealand,male,2015/16,42455,World T20,28,Eden Gardens,Kolkata,New Zealand,bat,KS Williamson,JD Cloete,MA Gough,VA Kulkarni,RSA Palliyaguruge,AJ Pycroft,New Zealand,75,0
951361,England,Sri Lanka,male,2015/16,42455,World T20,29,Feroz Shah Kotla,Delhi,Sri Lanka,field,JC Buttler,PR Reiffel,RJ Tucker,S Ravi,CB Gaffaney,JJ Crowe,England,10,0
951363,India,Australia,male,2015/16,42456,World T20,31,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Australia,bat,V Kohli,HDPK Dharmasena,M Erasmus,NJ Llong,RK Illingworth,RS Madugalle,India,0,6
951365,Afghanistan,West Indies,male,2015/16,42456,World T20,30,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,West Indies,field,Najibullah Zadran,Aleem Dar,BNJ Oxenford,IJ Gould,RA Kettleborough,BC Broad,Afghanistan,6,0
951367,South Africa,Sri Lanka,male,2015/16,42457,World T20,32,Feroz Shah Kotla,Delhi,South Africa,field,AM Phangiso,S Ravi,RJ Tucker,CB Gaffaney,PR Reiffel,JJ Crowe,South Africa,0,8
951369,England,New Zealand,male,2015/16,42459,World T20,0,Feroz Shah Kotla,Delhi,England,field,JJ Roy,HDPK Dharmasena,RJ Tucker,JS Wilson,BNJ Oxenford,DC Boon,England,0,7
951371,India,West Indies,male,2015/16,42460,World T20,0,Wankhede Stadium,Mumbai,West Indies,field,LMP Simmons,IJ Gould,RA Kettleborough,MA Gough,M Erasmus,BC Broad,West Indies,0,7
951373,England,West Indies,male,2015/16,42463,World T20,0,Eden Gardens,Kolkata,West Indies,field,MN Samuels,HDPK Dharmasena,RJ Tucker,BNJ Oxenford,M Erasmus,RS Madugalle,West Indies,0,4
995467,Sri Lanka,Australia,male,2016,42619,Australia in Sri Lanka T20I Series,1,Pallekele International Cricket Stadium,0,Sri Lanka,field,GJ Maxwell,REJ Martinesz,RR Wimalasiri,ID Gunawardene,RSA Palliyaguruge,J Srinath,Australia,85,0
995469,Sri Lanka,Australia,male,2016,42622,Australia in Sri Lanka T20I Series,2,R Premadasa Stadium,Colombo,Sri Lanka,bat,GJ Maxwell,REJ Martinesz,RSA Palliyaguruge,LE Hannibal,RR Wimalasiri,J Srinath,Australia,0,4
1001349,Australia,Sri Lanka,male,2016/17,42783,Sri Lanka in Australia T20I Series,1,Melbourne Cricket Ground,0,Sri Lanka,field,DAS Gunaratne,MD Martell,P Wilson,MW Graham-Smith,SJ Nogajski,JJ Crowe,Sri Lanka,0,5
1001351,Australia,Sri Lanka,male,2016/17,42785,Sri Lanka in Australia T20I Series,2,"Simonds Stadium, South Geelong",Victoria,Sri Lanka,field,DAS Gunaratne,SD Fry,SJ Nogajski,MW Graham-Smith,P Wilson,JJ Crowe,Sri Lanka,0,2
1001353,Australia,Sri Lanka,male,2016/17,42788,Sri Lanka in Australia T20I Series,3,Adelaide Oval,0,Sri Lanka,field,A Zampa,MD Martell,P Wilson,MW Graham-Smith,SD Fry,JJ Crowe,Australia,41,0
1007655,Zimbabwe,India,male,2016,42539,India in Zimbabwe T20I Series,1,Harare Sports Club,0,India,field,E Chigumbura,TJ Matibiri,RB Tiffin,S Rwaziyeni,L Rusere,RB Richardson,Zimbabwe,2,0
1007657,Zimbabwe,India,male,2016,42541,India in Zimbabwe T20I Series,2,Harare Sports Club,0,Zimbabwe,bat,BB Sran,L Rusere,RB Tiffin,O Chirombe,TJ Matibiri,RB Richardson,India,0,10
1007659,Zimbabwe,India,male,2016,42543,India in Zimbabwe T20I Series,3,Harare Sports Club,0,Zimbabwe,field,KM Jadhav,TJ Matibiri,RB Tiffin,I Chabi,L Rusere,RB Richardson,India,3,0
1019979,New Zealand,Bangladesh,male,2016/17,42738,Bangladesh in New Zealand T20I Series,1,McLean Park,Napier,Bangladesh,bat,KS Williamson,SB Haig,WR Knights,AL Gillies,CM Brown,BC Broad,New Zealand,0,6
1019981,New Zealand,Bangladesh,male,2016/17,42741,Bangladesh in New Zealand T20I Series,2,Bay Oval,Mount Maunganui,Bangladesh,field,C Munro,CM Brown,SB Haig,AL Gillies,WR Knights,BC Broad,New Zealand,47,0
1019983,New Zealand,Bangladesh,male,2016/17,42743,Bangladesh in New Zealand T20I Series,3,Bay Oval,Mount Maunganui,Bangladesh,field,CJ Anderson,CM Brown,WR Knights,AL Gillies,SB Haig,BC Broad,New Zealand,27,0
1020029,New Zealand,South Africa,male,2016/17,42783,0,0,Eden Park,Auckland,New Zealand,field,Imran Tahir,CM Brown,WR Knights,AL Gillies,SB Haig,J Srinath,South Africa,78,0
1031431,England,South Africa,male,2017,42907,South Africa in England T20I Series,1,The Rose Bowl,Southampton,South Africa,bat,JM Bairstow,RJ Bailey,RT Robinson,PJ Hartley,MA Gough,AJ Pycroft,England,0,9
1031433,England,South Africa,male,2017,42909,South Africa in England T20I Series,2,County Ground,Taunton,England,field,CH Morris,RJ Bailey,MA Gough,JW Lloyds,RT Robinson,AJ Pycroft,South Africa,3,0
1031435,England,South Africa,male,2017,42911,South Africa in England T20I Series,3,Sophia Gardens,Cardiff,South Africa,field,DJ Malan,MA Gough,RT Robinson,DJ Millns,RJ Bailey,AJ Pycroft,England,19,0
1031665,West Indies,England,male,2017,42994,West Indies tour of England,0,Riverside Ground,Chester-le-Street,England,field,SP Narine,RT Robinson,MA Gough,AG Wharf,RJ Bailey,J Srinath,West Indies,21,0
1034825,India,England,male,2016/17,42761,England in India T20I Series,1,Green Park,Kanpur,England,field,MM Ali,AK Chaudhary,Nitin Menon,AY Dandekar,CK Nandan,AJ Pycroft,England,0,7
1034827,India,England,male,2016/17,42764,England in India T20I Series,2,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,England,field,JJ Bumrah,AK Chaudhary,C Shamshuddin,AY Dandekar,Nitin Menon,AJ Pycroft,India,5,0
1034829,India,England,male,2016/17,42767,England in India T20I Series,3,M Chinnaswamy Stadium,Bangalore,England,field,YS Chahal,AK Chaudhary,Nitin Menon,CK Nandan,C Shamshuddin,AJ Pycroft,India,75,0
1040485,Afghanistan,Ireland,male,2016/17,42802,Afghanistan v Ireland T20I Series,1,Greater Noida Sports Complex Ground,Greater Noida,Ireland,bat,Samiullah Shenwari,Ahmed Shah Durrani,Ahmed Shah Pakteen,Bismillah Shinwari,CK Nandan,GF Labrooy,Afghanistan,0,6
1040489,Afghanistan,Ireland,male,2016/17,42806,Afghanistan v Ireland T20I Series,3,Greater Noida Sports Complex Ground,Greater Noida,Ireland,field,Mohammad Nabi,Ahmed Shah Durrani,Ahmed Shah Pakteen,Bismillah Shinwari,CK Nandan,GF Labrooy,Afghanistan,28,0
1041615,India,West Indies,male,2016,42609,West Indies v India T20I Series,1,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,field,E Lewis,N Duguid,JS Wilson,PA Gustard,LS Reifer,RS Madugalle,West Indies,1,0
1050217,Pakistan,West Indies,male,2016/17,42636,Pakistan v West Indies T20I Series,1,Dubai International Cricket Stadium,0,Pakistan,field,Imad Wasim,Ahsan Raza,Shozab Raza,Khalid Mahmood,Ahmed Shahab,AJ Pycroft,Pakistan,0,9
1050219,Pakistan,West Indies,male,2016/17,42637,Pakistan v West Indies T20I Series,2,Dubai International Cricket Stadium,0,West Indies,field,Sarfraz Ahmed,Ahmed Shahab,Shozab Raza,Khalid Mahmood,Ahsan Raza,AJ Pycroft,Pakistan,16,0
1050221,Pakistan,West Indies,male,2016/17,42640,Pakistan v West Indies T20I Series,3,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Imad Wasim,Ahsan Raza,Shozab Raza,Khalid Mahmood,Ahmed Shahab,AJ Pycroft,Pakistan,0,8
1072317,England,Australia,male,2017/18,43138,Trans-Tasman Twenty20 Trophy,2,Bellerive Oval,Hobart,Australia,field,GJ Maxwell,GA Abood,SD Fry,SJ Nogajski,CM Brown,J Srinath,Australia,0,5
1072318,England,Australia,male,2017/18,43141,Trans-Tasman Twenty20 Trophy,3,Melbourne Cricket Ground,0,Australia,field,KW Richardson,CM Brown,SJ Nogajski,GA Abood,SD Fry,J Srinath,Australia,0,7
1072319,New Zealand,England,male,2017/18,43144,Trans-Tasman Twenty20 Trophy,4,Westpac Stadium,Wellington,England,field,KS Williamson,SB Haig,WR Knights,CM Brown,P Wilson,J Srinath,New Zealand,12,0
1072320,New Zealand,Australia,male,2017/18,43147,Trans-Tasman Twenty20 Trophy,5,Eden Park,Auckland,New Zealand,bat,DJM Short,P Wilson,SB Haig,CM Brown,WR Knights,J Srinath,Australia,0,5
1072321,England,New Zealand,male,2017/18,43149,Trans-Tasman Twenty20 Trophy,6,Seddon Park,Hamilton,New Zealand,field,EJG Morgan,CM Brown,P Wilson,WR Knights,SB Haig,J Srinath,England,2,0
1074971,Afghanistan,Ireland,male,2016/17,42755,Desert T20 Challenge,0,Dubai International Cricket Stadium,0,Ireland,bat,Mohammad Nabi,BB Pradhan,Tabarak Dar,DT Jukes,0,0,Afghanistan,0,10
1075507,South Africa,Bangladesh,male,2017/18,43034,Bangladesh tour of South Africa,1,Mangaung Oval,Bloemfontein,South Africa,bat,AB de Villiers,AT Holdstock,S George,A Paleker,BP Jele,RS Madugalle,South Africa,20,0
1075508,South Africa,Bangladesh,male,2017/18,43037,Bangladesh tour of South Africa,2,Senwes Park,Potchefstroom,Bangladesh,field,DA Miller,BP Jele,S George,A Paleker,AT Holdstock,RS Madugalle,South Africa,83,0
1077947,West Indies,Pakistan,male,2017,42820,Pakistan in West Indies T20I Series,1,"Kensington Oval, Bridgetown",Barbados,Pakistan,field,Shadab Khan,GO Brathwaite,JS Wilson,LS Reifer,N Duguid,JJ Crowe,Pakistan,0,6
1077948,West Indies,Pakistan,male,2017,42824,Pakistan in West Indies T20I Series,2,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,field,Shadab Khan,N Duguid,JS Wilson,LS Reifer,GO Brathwaite,JJ Crowe,Pakistan,3,0
1083449,Sri Lanka,Bangladesh,male,2016/17,42829,Bangladesh in Sri Lanka T20I Series,1,R Premadasa Stadium,Colombo,Bangladesh,bat,MDKJ Perera,REJ Martinesz,RR Wimalasiri,ID Gunawardene,RSA Palliyaguruge,AJ Pycroft,Sri Lanka,0,6
1083450,Sri Lanka,Bangladesh,male,2016/17,42831,Bangladesh in Sri Lanka T20I Series,2,R Premadasa Stadium,Colombo,Bangladesh,bat,Shakib Al Hasan,REJ Martinesz,RSA Palliyaguruge,WN de Silva,RR Wimalasiri,AJ Pycroft,Bangladesh,45,0
1085495,West Indies,Pakistan,male,2017,42826,Pakistan in West Indies T20I Series,3,"Queen's Park Oval, Port of Spain",Trinidad,Pakistan,bat,E Lewis,GO Brathwaite,LS Reifer,N Duguid,JS Wilson,JJ Crowe,West Indies,0,7
1085496,West Indies,Pakistan,male,2017,42827,Pakistan in West Indies T20I Series,4,"Queen's Park Oval, Port of Spain",Trinidad,Pakistan,field,Hasan Ali,GO Brathwaite,JS Wilson,N Duguid,LS Reifer,JJ Crowe,Pakistan,0,7
1089776,West Indies,Afghanistan,male,2017,42888,Afghanistan in West Indies T20I Series,1,"Warner Park, Basseterre",St Kitts,Afghanistan,bat,SP Narine,GO Brathwaite,N Duguid,LS Reifer,JS Wilson,JJ Crowe,West Indies,0,6
1089778,West Indies,Afghanistan,male,2017,42891,Afghanistan in West Indies T20I Series,3,"Warner Park, Basseterre",St Kitts,Afghanistan,bat,MN Samuels,LS Reifer,JS Wilson,GO Brathwaite,N Duguid,JJ Crowe,West Indies,0,7
1098211,West Indies,India,male,2017,42925,"Sabina Park, Kingston",Jamaica,"Sabina Park, Kingston",Jamaica,West Indies,field,E Lewis,PA Gustard,JS Wilson,DC Boon,West Indies,9,West Indies,0,9
1109610,Sri Lanka,India,male,2017,42984,India tour of Sri Lanka,"R.Premadasa Stadium, Khettarama","R.Premadasa Stadium, Khettarama",Colombo,India,field,V Kohli,REJ Martinesz,RSA Palliyaguruge,ID Gunawardene,RR Wimalasiri,AJ Pycroft,India,0,7
1115798,New Zealand,West Indies,male,2017/18,43098,West Indies tour of New Zealand,1,Saxton Oval,Nelson,West Indies,field,GD Phillips,CM Brown,WR Knights,AL Gillies,SB Haig,AJ Pycroft,New Zealand,47,0
1115800,New Zealand,West Indies,male,2017/18,43103,West Indies tour of New Zealand,3,Bay Oval,Mount Maunganui,New Zealand,bat,C Munro,SB Haig,WR Knights,A Mehrotra,CM Brown,AJ Pycroft,New Zealand,119,0
1115807,Pakistan,New Zealand,male,2017/18,43122,Pakistan tour of New Zealand,1,Westpac Stadium,Wellington,New Zealand,field,C Munro,CM Brown,WR Knights,AL Gillies,SB Haig,RB Richardson,New Zealand,0,7
1115808,Pakistan,New Zealand,male,2017/18,43125,Pakistan tour of New Zealand,2,Eden Park,Auckland,Pakistan,bat,Fakhar Zaman,CM Brown,SB Haig,A Mehrotra,WR Knights,RB Richardson,Pakistan,48,0
1115809,Pakistan,New Zealand,male,2017/18,43128,Pakistan tour of New Zealand,3,Bay Oval,Mount Maunganui,Pakistan,bat,Shadab Khan,SB Haig,WR Knights,AL Gillies,CM Brown,RB Richardson,Pakistan,18,0
1117821,Pakistan,ICC World XI,male,2017/18,42990,Independence Cup,1,Gaddafi Stadium,Lahore,ICC World XI,field,Babar Azam,Aleem Dar,Ahsan Raza,Ahmed Shahab,Shozab Raza,RB Richardson,Pakistan,20,0
1117822,Pakistan,ICC World XI,male,2017/18,42991,Independence Cup,2,Gaddafi Stadium,Lahore,Pakistan,bat,NLTC Perera,Ahmed Shahab,Shozab Raza,Asif Yaqoob,Ahsan Raza,RB Richardson,ICC World XI,0,7
1117824,Pakistan,ICC World XI,male,2017/18,42993,Independence Cup,3,Gaddafi Stadium,Lahore,ICC World XI,field,Ahmed Shehzad,Shozab Raza,Ahsan Raza,Khalid Mahmood,Ahmed Shahab,RB Richardson,Pakistan,33,0
1119502,India,Australia,male,2017/18,43018,Australia tour of India,2,Barsapara Cricket Stadium,Guwahati,Australia,field,JP Behrendorff,Nitin Menon,CK Nandan,AK Chaudhary,C Shamshuddin,RB Richardson,Australia,0,8
1119542,England,Australia,male,2018,43278,Australia tour of England,Edgbaston,Edgbaston,Birmingham,Australia,field,AU Rashid,MA Gough,AG Wharf,RT Robinson,RJ Bailey,RS Madugalle,England,28,0
1119543,England,India,male,2018,43284,India tour of Ireland and England,1,Old Trafford,Manchester,India,field,Kuldeep Yadav,AG Wharf,RJ Bailey,MA Gough,RT Robinson,DC Boon,India,0,8
1119545,England,India,male,2018,43289,India tour of Ireland and England,3,County Ground,Bristol,India,field,RG Sharma,RT Robinson,RJ Bailey,AG Wharf,MA Gough,DC Boon,India,0,7
